country,email,password,role,userName,classGroup,_id
South Africa,dave@example.com,Dave123,admin,David Thompson,,665c7bb9869680ba3df6c472
United States,tim@example.com,Tim123,teacher,Tim Doe,,66425ab3a20ab5405b9de773
Canada,jane@example.com,Jane123,teacher,Jane Smith,,6642f014a20ab5405b9de7be
Australia,sam@example.com,Sam123,student,Sam Brown,665c7baf869680ba3df6c46f,
United Kingdom,lucy.jones4@example.com,LucyJones123,student,Lucy Jones,665c7baf869680ba3df6c46f,
India,rohan.patel5@example.com,RohanPatel123,student,Rohan Patel,665c7baf869680ba3df6c46f,
Germany,anna.schmidt6@example.com,AnnaSchmidt123,student,Anna Schmidt,665c7baf869680ba3df6c46f,
Japan,hiro.tanaka7@example.com,HiroTanaka123,student,Hiro Tanaka,665c7baf869680ba3df6c46f,
Brazil,maria.silva8@example.com,MariaSilva123,student,Maria Silva,665c7baf869680ba3df6c46f,
France,pierre.dubois9@example.com,PierreDubois123,student,Pierre Dubois,665c7baf869680ba3df6c46f,
Italy,giulia.rossi10@example.com,GiuliaRossi123,student,Giulia Rossi,665c7baf869680ba3df6c46f,
Mexico,carlos.mendez12@example.com,CarlosMendez123,student,Carlos Mendez,665c7baf869680ba3df6c46f,
Russia,olga.ivanova13@example.com,OlgaIvanova123,student,Olga Ivanova,665c7baf869680ba3df6c46f,
China,li.wang14@example.com,LiWang123,student,Li Wang,665c7baf869680ba3df6c46f,
South Korea,jiwoo.lee15@example.com,JiwooLee123,student,Jiwoo Lee,665c7baf869680ba3df6c46f,
Argentina,sofia.garcia16@example.com,SofiaGarcia123,student,Sofia Garcia,665c7baf869680ba3df6c46f,
Spain,miguel.fernandez17@example.com,MiguelFernandez123,student,Miguel Fernandez,665c7baf869680ba3df6c470,
Nigeria,chioma.okeke18@example.com,ChiomaOkeke123,student,Chioma Okeke,665c7baf869680ba3df6c470,
Egypt,ahmed.hassan19@example.com,AhmedHassan123,student,Ahmed Hassan,665c7baf869680ba3df6c470,
Turkey,aysel.kaya20@example.com,AyselKaya123,student,Aysel Kaya,665c7baf869680ba3df6c470,
Vietnam,minh.tran21@example.com,MinhTran123,student,Minh Tran,665c7baf869680ba3df6c470,
Thailand,nicha.somchai22@example.com,NichaSomchai123,student,Nicha Somchai,665c7baf869680ba3df6c470,
Pakistan,ali.khan23@example.com,AliKhan123,student,Ali Khan,665c7baf869680ba3df6c470,
Bangladesh,rahim.islam24@example.com,RahimIslam123,student,Rahim Islam,665c7baf869680ba3df6c470,
Philippines,maria.dela.cruz25@example.com,MariaDelaCruz123,student,Maria Dela Cruz,665c7baf869680ba3df6c470,
Indonesia,agus.santoso26@example.com,AgusSantoso123,student,Agus Santoso,665c7baf869680ba3df6c470,
Malaysia,nur.syahira27@example.com,NurSyahira123,student,Nur Syahira,665c7baf869680ba3df6c471,
Saudi Arabia,abdullah.alsaud28@example.com,AbdullahAlsaud123,student,Abdullah Alsaud,665c7baf869680ba3df6c471,
United Arab Emirates,fatima.alnuaimi29@example.com,FatimaAlnuaimi123,student,Fatima Alnuaimi,665c7baf869680ba3df6c471,
Israel,david.cohen30@example.com,DavidCohen123,student,David Cohen,665c7baf869680ba3df6c471,
Iran,leila.rahimi31@example.com,LeilaRahimi123,student,Leila Rahimi,665c7baf869680ba3df6c471,
Iraq,hassan.jaber32@example.com,HassanJaber123,student,Hassan Jaber,665c7baf869680ba3df6c471,
Afghanistan,fahim.ahmadi33@example.com,FahimAhmadi123,student,Fahim Ahmadi,665c7baf869680ba3df6c471,
Kazakhstan,amara.tleubekova34@example.com,AmaraTleubekova123,student,Amara Tleubekova,665c7baf869680ba3df6c471,
Uzbekistan,islam.karimov35@example.com,IslamKarimov123,student,Islam Karimov,665c7baf869680ba3df6c471,
Turkey,aysel.kaya36@example.com,AyselKaya123,student,Aysel Kaya,665c7baf869680ba3df6c471,
Ukraine,olena.zinchenko37@example.com,OlenaZinchenko123,student,Olena Zinchenko,665c7baf869680ba3df6c472,
Belarus,svetlana.kuznetsova38@example.com,SvetlanaKuznetsova123,student,Svetlana Kuznetsova,665c7baf869680ba3df6c472,
Poland,piotr.novak39@example.com,PiotrNovak123,student,Piotr Novak,665c7baf869680ba3df6c472,
Sweden,emma.larsson40@example.com,EmmaLarsson123,student,Emma Larsson,665c7baf869680ba3df6c472,
Norway,lars.hansen41@example.com,LarsHansen123,student,Lars Hansen,665c7baf869680ba3df6c472,
Denmark,freja.nielsen42@example.com,FrejaNielsen123,student,Freja Nielsen,665c7baf869680ba3df6c472,
Finland,kaisa.makinen43@example.com,KaisaMakinen123,student,Kaisa Makinen,665c7baf869680ba3df6c472,
Iceland,arnar.sigurdsson44@example.com,ArnarSigurdsson123,student,Arnar Sigurdsson,665c7baf869680ba3df6c472,
Greenland,nivi.larsen45@example.com,NiviLarsen123,student,Nivi Larsen,665c7baf869680ba3df6c472,
Ireland,aoife.o.sullivan46@example.com,AoifeOSullivan123,student,Aoife O'Sullivan,665c7baf869680ba3df6c472,
Scotland,jamie.macdonald47@example.com,JamieMacdonald123,student,Jamie Macdonald,665c7baf869680ba3df6c473,
Wales,ceri.evans48@example.com,CeriEvans123,student,Ceri Evans,665c7baf869680ba3df6c473,
New Zealand,lily.johnson49@example.com,LilyJohnson123,student,Lily Johnson,665c7baf869680ba3df6c473,
South Africa,sipho.mkhize50@example.com,SiphoMkhize123,student,Sipho Mkhize,665c7baf869680ba3df6c473,
